Data;Hora;Turno;IBUTG (Int.);IBUTG (Ext.);TA;TG;TBU;Ponto de orvalho;UR;;;
16/01/2020;16:07:59;dia;32,9 °C; 32,8 °C; 41,1 °C; 41,7 °C; 29,1 °C; 24,6 °C;39,60%;;;
16/01/2020;16:09:59;dia;32,8 °C; 32,8 °C; 41,0 °C; 41,5 °C; 29,1 °C; 24,6 °C;39,80%;;;
16/01/2020;16:11:59;dia;32,8 °C; 32,7 °C; 40,9 °C; 41,4 °C; 29,1 °C; 24,6 °C;39,90%;;;
16/01/2020;16:13:59;dia;32,7 °C; 32,7 °C; 40,8 °C; 41,2 °C; 29,1 °C; 24,6 °C;40,10%;;;
16/01/2020;16:15:59;dia;32,6 °C; 32,6 °C; 40,7 °C; 41,1 °C; 29,0 °C; 24,6 °C;40,40%;;;
16/01/2020;16:17:59;dia;32,6 °C; 32,6 °C; 40,6 °C; 41,1 °C; 29,0 °C; 24,6 °C;40,50%;;;
16/01/2020;16:19:59;dia;32,5 °C; 32,5 °C; 40,5 °C; 41,0 °C; 28,9 °C; 24,5 °C;40,60%;;;
16/01/2020;16:21:59;dia;32,5 °C; 32,5 °C; 40,4 °C; 41,0 °C; 28,9 °C; 24,5 °C;40,80%;;;
16/01/2020;16:23:59;dia;32,5 °C; 32,5 °C; 40,3 °C; 41,0 °C; 28,9 °C; 24,6 °C;41,10%;;;
16/01/2020;16:25:59;dia;32,5 °C; 32,5 °C; 40,3 °C; 41,0 °C; 28,9 °C; 24,5 °C;40,90%;;;
16/01/2020;16:27:59;dia;32,4 °C; 32,4 °C; 40,2 °C; 40,9 °C; 28,8 °C; 24,4 °C;40,90%;;;
16/01/2020;16:29:59;dia;32,3 °C; 32,3 °C; 40,1 °C; 40,8 °C; 28,7 °C; 24,3 °C;41,00%;;;
16/01/2020;16:31:59;dia;32,3 °C; 32,3 °C; 40,1 °C; 40,8 °C; 28,7 °C; 24,4 °C;41,10%;;;
16/01/2020;16:33:59;dia;32,3 °C; 32,3 °C; 40,1 °C; 40,8 °C; 28,7 °C; 24,3 °C;41,00%;;;
